Matrix of word-grams occurrences tokenizer: NLTK based tokenizer
Matrix of word-grams occurrences binary: True
Matrix of word-grams occurrences sublinear_tf: False
Matrix of word-grams occurrences use_idf: False
Matrix of word-grams occurrences lowercase: True
Matrix of word-grams occurrences norm: L2
Intercept: -3.2078392594952154
Loss distribution: Binomial Deviance
Link function: logit

Feature Name,Type,Derived Feature,Transform1,Value1,Transform2,Value2,Coefficient
Account_Manager,NUM,STANDARDIZED_Account_Manager,Missing imputation,0.0,Standardize,"(0,0.499643087387)",0.1410728690169785
Age,NUM,STANDARDIZED_Age,Missing imputation,42.0,Standardize,"(42,6.12415552139)",0.25491586457003407
Location,TXT,Location-suite 115,Matrix of word-grams occurrences,suite 115,,,0.0
Location,TXT,Location-suite 123,Matrix of word-grams occurrences,suite 123,,,0.0
Location,TXT,Location-suite 132,Matrix of word-grams occurrences,suite 132,,,0.0
Location,TXT,Location-suite 180,Matrix of word-grams occurrences,suite 180,,,0.0
Location,TXT,Location-suite 032,Matrix of word-grams occurrences,suite 032,,,0.0
Location,TXT,Location-suite 044,Matrix of word-grams occurrences,suite 044,,,0.0
Location,TXT,Location-suite 269,Matrix of word-grams occurrences,suite 269,,,0.0
Location,TXT,Location-suite 299,Matrix of word-grams occurrences,suite 299,,,0.0
Location,TXT,Location-suite 561,Matrix of word-grams occurrences,suite 561,,,0.0
Location,TXT,Location-suite 569,Matrix of word-grams occurrences,suite 569,,,0.0
Location,TXT,Location-suite 935,Matrix of word-grams occurrences,suite 935,,,0.0
Location,TXT,Location-suite 944,Matrix of word-grams occurrences,suite 944,,,0.0
Location,TXT,Location-suite 665,Matrix of word-grams occurrences,suite 665,,,0.0
Location,TXT,Location-suite 780,Matrix of word-grams occurrences,suite 780,,,0.0
Location,TXT,Location-suite,Matrix of word-grams occurrences,suite,,,0.0
Location,TXT,Location-summit suite,Matrix of word-grams occurrences,summit suite,,,0.0
Location,TXT,Location-summit,Matrix of word-grams occurrences,summit,,,0.0
Location,TXT,Location-susanchester,Matrix of word-grams occurrences,susanchester,,,0.0
Location,TXT,Location-susan,Matrix of word-grams occurrences,susan,,,0.0
Location,TXT,Location-street apt,Matrix of word-grams occurrences,street apt,,,0.0
Location,TXT,Location-streets,Matrix of word-grams occurrences,streets,,,0.0
Location,TXT,Location-street,Matrix of word-grams occurrences,street,,,0.0
Location,TXT,Location-stream apt,Matrix of word-grams occurrences,stream apt,,,0.0
Location,TXT,Location-stream,Matrix of word-grams occurrences,stream,,,0.0
Location,TXT,Location-stravenue suite,Matrix of word-grams occurrences,stravenue suite,,,0.0
Location,TXT,Location-stravenue,Matrix of word-grams occurrences,stravenue,,,0.0
Location,TXT,Location-stephanie,Matrix of word-grams occurrences,stephanie,,,0.0
Location,TXT,Location-stephenstad,Matrix of word-grams occurrences,stephenstad,,,0.0
Location,TXT,Location-stevenmouth,Matrix of word-grams occurrences,stevenmouth,,,0.0
Location,TXT,Location-steven,Matrix of word-grams occurrences,steven,,,0.0
Location,TXT,Location-station suite,Matrix of word-grams occurrences,station suite,,,0.0
Location,TXT,Location-station,Matrix of word-grams occurrences,station,,,0.0
Location,TXT,Location-shannon,Matrix of word-grams occurrences,shannon,,,0.0
Location,TXT,Location-sharon,Matrix of word-grams occurrences,sharon,,,0.0
Location,TXT,Location-shawn,Matrix of word-grams occurrences,shawn,,,0.0
Location,TXT,Location-shoals,Matrix of word-grams occurrences,shoals,,,0.0
Location,TXT,Location-shoal,Matrix of word-grams occurrences,shoal,,,0.0
Location,TXT,Location-shores,Matrix of word-grams occurrences,shores,,,0.0
Location,TXT,Location-sherry,Matrix of word-grams occurrences,sherry,,,0.0
Location,TXT,Location-springs apt,Matrix of word-grams occurrences,springs apt,,,0.0
Location,TXT,Location-springs suite,Matrix of word-grams occurrences,springs suite,,,0.0
Location,TXT,Location-springs,Matrix of word-grams occurrences,springs,,,0.0
Location,TXT,Location-spring,Matrix of word-grams occurrences,spring,,,0.0
Location,TXT,Location-spur suite,Matrix of word-grams occurrences,spur suite,,,0.0
Location,TXT,Location-spurs,Matrix of word-grams occurrences,spurs,,,0.0
Location,TXT,Location-spur,Matrix of word-grams occurrences,spur,,,0.0
Location,TXT,Location-samantha,Matrix of word-grams occurrences,samantha,,,0.0
Location,TXT,Location-samuel,Matrix of word-grams occurrences,samuel,,,0.0
Location,TXT,Location-sarah,Matrix of word-grams occurrences,sarah,,,0.0
Location,TXT,Location-sara,Matrix of word-grams occurrences,sara,,,0.0
Location,TXT,Location-squares apt,Matrix of word-grams occurrences,squares apt,,,0.0
Location,TXT,Location-squares,Matrix of word-grams occurrences,squares,,,0.0
Location,TXT,Location-square apt,Matrix of word-grams occurrences,square apt,,,0.0
